Full VQE parameter scan: N=8, 30x30
  time PM: 0.7195s | E = -6.068964
  time FM: 0.7029s | E = -7.172436
  time AP: 0.0991s | E = -8.685719
  time PM: 0.6781s | E = -6.620709
  time FM: 0.6486s | E = -7.172434
  time AP: 0.0693s | E = -8.685719
  time PM: 0.6351s | E = -6.620685
  time FM: 0.6298s | E = -7.172433
  time AP: 0.0722s | E = -8.962027
  time PM: 1.8952s | E = -7.172411
  time FM: 1.0976s | E = -7.172430
  time AP: 0.8732s | E = -8.962027
  time PM: 2.6356s | E = -7.172438
  time FM: 2.0089s | E = -7.172433
  time AP: 0.1390s | E = -9.251202
  time PM: 0.9441s | E = -7.724134
  time FM: 0.8391s | E = -7.172424
  time AP: 0.1325s | E = -9.251202
  time PM: 0.9569s | E = -7.724142
  time FM: 1.7100s | E = -7.172422
  time AP: 0.1580s | E = -9.555023
  time PM: 0.8514s | E = -8.275866
  time FM: 2.0988s | E = -7.172416
  time AP: 0.1223s | E = -9.555023
  time PM: 0.9233s | E = -8.275886
  time FM: 1.0063s | E = -7.172421
  time AP: 0.0886s | E = -9.313164
  time PM: 0.8201s | E = -8.827576
  time FM: 0.8655s | E = -7.172422
  time AP: 0.1066s | E = -9.313164
  time PM: 0.7369s | E = -8.827634
  time FM: 0.6912s | E = -7.172430
  time AP: 0.0744s | E = -9.396463
  time PM: 0.6336s | E = -9.379339
  time FM: 0.6440s | E = -7.172423
  time AP: 0.0741s | E = -9.396463
  time PM: 0.6411s | E = -9.379337
  time FM: 0.6407s | E = -7.172418
  time AP: 0.0687s | E = -9.931576
  time PM: 0.6709s | E = -9.931072
  time FM: 0.7707s | E = -7.172429
  time AP: 0.0904s | E = -9.931576
  time PM: 1.0601s | E = -9.931061
  time FM: 4.2432s | E = -7.172437
  time AP: 0.3669s | E = -10.482786
  time PM: 3.2103s | E = -10.482737
  time FM: 0.8894s | E = -7.172425
  time AP: 0.0880s | E = -10.482786
  time PM: 2.0869s | E = -10.482765
  time FM: 0.8821s | E = -7.172430
  time AP: 0.0975s | E = -11.034515
  time PM: 0.6800s | E = -11.034493
  time FM: 0.7201s | E = -7.172419
  time AP: 0.0850s | E = -11.034515
  time PM: 1.8311s | E = -11.034526
  time FM: 2.1468s | E = -7.172434
  time AP: 0.1219s | E = -11.586218
  time PM: 2.3376s | E = -11.586249
  time FM: 2.0930s | E = -7.172427
  time AP: 0.4402s | E = -11.586218
  time PM: 2.5486s | E = -11.586238
  time FM: 2.9055s | E = -7.172426
  time AP: 0.1758s | E = -12.137943
  time PM: 1.3390s | E = -12.137962
  time FM: 1.3465s | E = -7.172433
  time AP: 0.1330s | E = -12.137943
  time PM: 1.2184s | E = -12.137935
  time FM: 2.9057s | E = -7.172434
  time AP: 0.1829s | E = -12.689671
  time PM: 0.8277s | E = -12.689650
  time FM: 0.8021s | E = -7.172420
  time AP: 0.0801s | E = -12.689671
  time PM: 0.6475s | E = -12.689661
  time FM: 0.6849s | E = -7.172420
  time AP: 0.0745s | E = -13.241395
  time PM: 0.6906s | E = -13.241391
  time FM: 0.6822s | E = -7.172432
  time AP: 0.0699s | E = -13.241395
  time PM: 0.6433s | E = -13.241431
  time FM: 0.6823s | E = -7.172432
  time AP: 0.0747s | E = -13.793118
  time PM: 0.8309s | E = -13.793151
